Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1999-00,NBA,Denver Nuggets,35,47,.427,5th of 7,-1.76,,94.7,1.6,103.5,-0.6,105.8,1.7,,,D. Issel (35-47),A. McDyess (6.2)
1998-99,NBA,Denver Nuggets,14,36,.280,6th of 7,-6.67,,90.5,1.6,103.1,0.9,110.4,8.2,,,M. D'Antoni (14-36),D. Fortson (4.4)
1997-98,NBA,Denver Nuggets,11,71,.134,7th of 7,-11.74,,89.7,-0.6,99.0,-6.0,112.1,7.1,,,B. Hanzlik (11-71),A. Goldwire (3.0)
1996-97,NBA,Denver Nuggets,21,61,.256,5th of 7,-6.40,,92.4,2.3,104.5,-2.2,111.2,4.5,,,B. Bickerstaff (4-9) D. Motta (17-52),E. Johnson (5.2)
1995-96,NBA,Denver Nuggets,35,47,.427,4th of 7,-2.62,,92.2,0.4,105.2,-2.4,108.1,0.5,,,B. Bickerstaff (35-47),D. Mutombo (7.6)
1994-95,NBA,Denver Nuggets*,41,41,.500,4th of 6,0.96,,91.5,-1.4,109.1,0.8,108.2,-0.1,,Lost W. Conf. 1st Rnd.,D. Issel (18-16) G. Littles (3-13) B. Bickerstaff (20-12),D. Mutombo (8.7)
1993-94,NBA,Denver Nuggets*,42,40,.512,4th of 6,1.54,,96.1,1.0,103.9,-2.4,102.3,-4.0,,Lost W. Conf. Semis,D. Issel (42-40),D. Mutombo (9.4)
1992-93,NBA,Denver Nuggets,36,46,.439,4th of 6,-2.14,,99.8,3.0,104.6,-3.4,106.3,-1.7,,,D. Issel (36-46),D. Mutombo (8.8)
1991-92,NBA,Denver Nuggets,24,58,.293,4th of 6,-7.59,,98.6,2.0,100.7,-7.5,108.6,0.4,,,P. Westhead (24-58),R. Williams (6.6)
1990-91,NBA,Denver Nuggets,20,62,.244,7th of 7,-10.31,,113.7,15.9,105.2,-2.7,114.7,6.8,,,P. Westhead (20-62),M. Adams (6.3)
1989-90,NBA,Denver Nuggets*,43,39,.524,4th of 7,1.56,,105.4,7.1,108.0,-0.1,106.7,-1.4,,Lost W. Conf. 1st Rnd.,D. Moe (43-39),F. Lever (8.8)
1988-89,NBA,Denver Nuggets*,44,38,.537,3rd of 6,0.91,,107.5,6.9,108.6,0.8,107.1,-0.7,,Lost W. Conf. 1st Rnd.,D. Moe (44-38),F. Lever (9.2)
1987-88,NBA,Denver Nuggets*,54,28,.659,1st of 6,3.32,,105.5,5.9,110.1,2.1,106.3,-1.7,,Lost W. Conf. Semis,D. Moe (54-28),F. Lever (10.4)
1986-87,NBA,Denver Nuggets*,37,45,.451,4th of 6,-1.14,,106.2,5.4,109.3,1.0,110.2,1.9,,Lost W. Conf. 1st Rnd.,D. Moe (37-45),F. Lever (9.7)
1985-86,NBA,Denver Nuggets*,47,35,.573,2nd of 6,0.89,,106.7,4.6,107.1,-0.1,105.9,-1.3,,Lost W. Conf. Semis,D. Moe (47-35),A. English (9.8)
1984-85,NBA,Denver Nuggets*,52,30,.634,1st of 6,2.05,,107.6,5.5,110.7,2.8,108.4,0.5,,Lost W. Conf. Finals,D. Moe (52-30),C. Natt (10.2)
1983-84,NBA,Denver Nuggets*,38,44,.463,3rd of 6,-1.27,,110.5,9.1,111.3,3.7,112.3,4.7,,Lost W. Conf. 1st Rnd.,D. Moe (38-44),K. Vandeweghe (10.3)
1982-83,NBA,Denver Nuggets*,45,37,.549,2nd of 6,0.27,,112.1,9.0,109.7,5.0,109.1,4.4,,Lost W. Conf. Semis,D. Moe (45-37),K. Vandeweghe (11.0)
1981-82,NBA,Denver Nuggets*,46,36,.561,2nd of 6,0.13,,109.8,8.9,114.3,7.4,113.9,7.0,,Lost W. Conf. 1st Rnd.,D. Moe (46-36),D. Issel (9.8)
1980-81,NBA,Denver Nuggets,37,45,.451,4th of 6,-0.95,,109.8,8.0,109.4,3.9,109.8,4.3,,,D. Walsh (11-20) D. Moe (26-25),D. Issel (10.5)
1979-80,NBA,Denver Nuggets,30,52,.366,3rd of 5,-4.22,,103.9,0.8,103.4,-1.9,107.6,2.3,,,D. Walsh (30-52),D. Issel (11.5)
